Facility_Location,Product_Line,Date,Monthly_Production_Volume,Supply_Chain_Disruptions,Cost_Per_Unit,Quality_Score_Pct,Sustainability_Rating,Vendor_Count,Lead_Time_Days,Inventory_Turnover,Carbon_Footprint_MT
Metropolis_North,Biotech Equipment,2024-04,134000,2,164.10,95.7,A-,32,14,8.0,849.6
Metropolis_North,Biotech Equipment,2024-05,137000,1,163.50,96.8,A+,35,12,8.6,863.2
Metropolis_North,Biotech Equipment,2024-06,140000,1,162.80,97.0,A+,36,11,8.8,877.1
Central_City,Applied Sciences,2023-01,67000,2,234.70,92.8,B+,28,22,5.9,892.4
Central_City,Applied Sciences,2023-02,69000,3,237.20,92.1,B+,26,24,5.6,906.8
Central_City,Applied Sciences,2023-03,71000,2,235.90,93.2,A-,29,21,6.1,921.3
Central_City,Applied Sciences,2023-04,73000,4,240.60,91.5,B,25,25,5.4,935.9
Central_City,Applied Sciences,2023-05,75000,2,238.40,92.9,B+,28,22,5.8,950.6
Central_City,Applied Sciences,2023-06,77000,3,241.80,92.0,B+,26,24,5.5,965.2
Central_City,Applied Sciences,2023-07,79000,2,239.70,93.1,A-,29,21,6.0,980.1
Central_City,Applied Sciences,2023-08,81000,5,244.30,90.8,B,24,26,5.2,994.8
Central_City,Applied Sciences,2023-09,83000,2,242.10,92.7,B+,27,23,5.7,1009.7
Central_City,Applied Sciences,2023-10,85000,3,245.60,91.9,B+,26,24,5.4,1024.5
Central_City,Applied Sciences,2023-11,87000,2,243.80,92.8,B+,28,22,5.8,1039.4
Central_City,Applied Sciences,2023-12,89000,4,247.20,91.2,B,25,25,5.3,1054.6
Central_City,Applied Sciences,2024-01,91000,2,245.50,92.6,B+,27,23,5.6,1069.7
Central_City,Applied Sciences,2024-02,93000,3,248.90,91.8,B+,26,24,5.4,1084.9
Central_City,Applied Sciences,2024-03,95000,2,246.70,92.9,B+,28,22,5.9,1100.2
Central_City,Applied Sciences,2024-04,97000,4,250.40,91.1,B,24,26,5.1,1115.7
Central_City,Applied Sciences,2024-05,99000,2,248.60,92.5,B+,27,23,5.7,1131.1
Central_City,Applied Sciences,2024-06,101000,3,251.20,91.7,B+,26,24,5.3,1146.8
Star_City,Construction Materials,2023-01,234000,3,89.40,91.5,B+,52,26,4.8,1890.2
Star_City,Construction Materials,2023-02,238000,2,88.70,92.1,A-,54,24,5.1,1912.4
Star_City,Construction Materials,2023-03,242000,4,91.20,90.8,B,50,28,4.6,1934.7
Star_City,Construction Materials,2023-04,246000,3,90.50,91.7,B+,52,26,4.9,1957.1
Star_City,Construction Materials,2023-05,250000,2,89.80,92.3,A-,55,23,5.2,1979.8
Star_City,Construction Materials,2023-06,254000,5,92.60,90.2,B,48,30,4.4,2002.6
Star_City,Construction Materials,2023-07,258000,3,91.90,91.4,B+,51,27,4.7,2025.5
Star_City,Construction Materials,2023-08,262000,2,90.70,92.0,A-,54,24,5.0,2048.7
Star_City,Construction Materials,2023-09,266000,4,93.40,90.6,B,49,29,4.5,2071.9
Star_City,Construction Materials,2023-10,270000,3,92.80,91.2,B+,51,27,4.8,2095.3
Star_City,Construction Materials,2023-11,274000,2,91.60,92.2,A-,55,23,5.1,2118.8
Star_City,Construction Materials,2023-12,278000,5,94.70,89.9,B,47,31,4.3,2142.6
Star_City,Construction Materials,2024-01,282000,3,93.50,91.0,B+,50,28,4.6,2166.4
Star_City,Construction Materials,2024-02,286000,2,92.30,91.8,A-,53,25,4.9,2190.5
Star_City,Construction Materials,2024-03,290000,4,95.10,90.4,B,48,30,4.4,2214.7
Star_City,Construction Materials,2024-04,294000,3,94.40,91.1,B+,51,27,4.7,2239.1
Star_City,Construction Materials,2024-05,298000,2,93.20,91.9,A-,54,24,5.0,2263.6
Star_City,Construction Materials,2024-06,302000,4,96.80,90.1,B,47,31,4.2,2288.4
Keystone_City,Electronics,2023-01,178000,2,67.30,95.8,A-,38,19,7.6,512.7
Keystone_City,Electronics,2023-02,182000,1,66.50,96.2,A,40,17,7.9,521.8
Keystone_City,Electronics,2023-03,186000,3,68.90,95.1,A-,36,21,7.3,530.9
Keystone_City,Electronics,2023-04,190000,2,68.20,95.7,A-,38,19,7.6,540.1
Keystone_City,Electronics,2023-05,194000,1,67.40,96.4,A,41,16,8.1,549.4
Keystone_City,Electronics,2023-06,198000,2,69.10,95.5,A-,37,20,7.4,558.8
Keystone_City,Electronics,2023-07,202000,3,68.70,95.0,A-,35,22,7.1,568.2
Keystone_City,Electronics,2023-08,206000,1,67.80,96.1,A,40,17,7.8,577.7
Keystone_City,Electronics,2023-09,210000,2,69.50,95.4,A-,37,20,7.5,587.3
Keystone_City,Electronics,2023-10,214000,4,70.20,94.7,A-,34,23,6.9,596.9
Keystone_City,Electronics,2023-11,218000,2,69.60,95.6,A-,38,19,7.6,606.6
Keystone_City,Electronics,2023-12,222000,1,68.90,96.0,A,39,18,7.7,616.4
Keystone_City,Electronics,2024-01,226000,1,68.10,96.5,A,42,16,8.2,626.2
Keystone_City,Electronics,2024-02,230000,2,69.40,95.3,A-,37,20,7.4,636.1
Keystone_City,Electronics,2024-03,234000,1,68.60,96.3,A,41,17,8.0,646.1
Keystone_City,Electronics,2024-04,238000,3,70.80,94.9,A-,35,22,7.0,656.2
Keystone_City,Electronics,2024-05,242000,2,70.20,95.5,A-,38,19,7.6,666.3
Keystone_City,Electronics,2024-06,246000,1,69.30,96.1,A,40,17,7.9,676.5
